"201340","STATEN ISLAND","137","0"
"201341",,"974","2"
"201341","BRONX","333","1"
"201341","BROOKLYN","905","2"
"201341","MANHATTAN","837","0"
"201341","QUEENS","778","1"
"201341","STATEN ISLAND","131","0"
"201342",,"919","0"
"201342","BRONX","381","0"
"201342","BROOKLYN","870","3"
"201342","MANHATTAN","807","1"
"201342","QUEENS","722","0"
"201342","STATEN ISLAND","119","0"
"201343",,"1004","1"
"201343","BRONX","356","1"
"201343","BROOKLYN","944","2"
"201343","MANHATTAN","844","0"
"201343","QUEENS","843","0"
"201343","STATEN ISLAND","140","0"
"201344",,"1005","1"
"201344","BRONX","332","2"
"201344","BROOKLYN","906","2"
"201344","MANHATTAN","859","0"
"201344","QUEENS","804","1"
"201344","STATEN ISLAND","162","0"
"201345",,"995","2"
"201345","BRONX","367","3"
"201345","BROOKLYN","954","0"
"201345","MANHATTAN","855","1"
"201345","QUEENS","843","1"
"201345","STATEN ISLAND","162","0"
"201346",,"1030","3"
"201346","BRONX","393","1"
"201346","BROOKLYN","889","0"
"201346","MANHATTAN","832","1"
"201346","QUEENS","791","2"
"201346","STATEN ISLAND","141","0"
"201347",,"1021","2"
"201347","BRONX","368","1"
"201347","BROOKLYN","963","1"
"201347","MANHATTAN","862","2"
"201347","QUEENS","840","0"
"201347","STATEN ISLAND","123","0"
"201348",,"1005","4"
"201348","BRONX","377","0"
"201348","BROOKLYN","952","2"
"201348","MANHATTAN","790","3"
"201348","QUEENS","834","2"
"201348","STATEN ISLAND","125","0"
"201349",,"957","4"
"201349","BRONX","356","0"
"201349","BROOKLYN","921","0"
"201349","MANHATTAN","843","0"
"201349","QUEENS","765","1"
"201349","STATEN ISLAND","135","0"
"201350",,"987","3"
"201350","BRONX","391","0"
"201350","BROOKLYN","950","1"
"201350","MANHATTAN","877","0"
"201350","QUEENS","881","1"
"201350","STATEN ISLAND","180","1"
"201351",,"1054","2"
"201351","BRONX","405","1"
"201351","BROOKLYN","1044","0"
"201351","MANHATTAN","846","2"
"201351","QUEENS","906","2"
"201351","STATEN ISLAND","167","0"
"201352",,"777","2"
"201352","BRONX","326","0"
"201352","BROOKLYN","788","2"
"201352","MANHATTAN","615","0"
"201352","QUEENS","634","0"
"201352","STATEN ISLAND","111","1"
"201401",,"736","2"
"201401","BRONX","328","1"
"201401","BROOKLYN","748","2"
"201401","MANHATTAN","525","0"
"201401","QUEENS","644","2"
"201401","STATEN ISLAND","122","1"
"201402",,"859","0"
"201402","BRONX","346","1"
"201402","BROOKLYN","886","3"
"201402","MANHATTAN","713","2"
"201402","QUEENS","773","0"
"201402","STATEN ISLAND","128","1"
"201403",,"833","2"
"201403","BRONX","351","0"
"201403","BROOKLYN","836","0"
"201403","MANHATTAN","740","3"
"201403","QUEENS","747","0"
"201403","STATEN ISLAND","139","0"
"201404",,"1095","1"
"201404","BRONX","428","1"
"201404","BROOKLYN","954","0"
"201404","MANHATTAN","779","0"
"201404","QUEENS","850","0"
